global_emp_id,gender,unified_grade,city,sub_bu,ijp_90_days,tenure,bench_ageing,marital_status,education_score,leaves,employee_status,months_since_last_promotion,payposition_2021,report_month,tenure_in_capgemini_yr,average_rating,rating_diff,pred,Retention_Probability,Termination_Probability
InHiXP3QzlP/dDonpXBLEQ==,Female,B1,Bangalore,BPS Oracle,0,5.716749831,0,Single,53,4,1,13.0105341,0.817286441,1,16,2.5,1,1,0.338172538,0.661827462
Un0LA6Qm/rEk1rJ0fw1G7A==,Female,B1,Chennai,BPS DM,0,15.01468203,0,Single,53,3.333333333,1,10.02073965,0.87660678,1,15,1,0,1,0.25062439,0.74937561
q4RW8REau55Z+VDSVUk8Kg==,Male,B1,Chennai,BPS DM,0,0.985646523,0,Single,53,1.333333333,1,16.03318343,0.973094915,1,16,2,0,1,0.479402416,0.520597584
P3C64IhQ6zYqe3o7+IPZQA==,Male,B1,Bangalore,BPS Cloud Data Platform,0,4.008295858,0,Single,53,1,1,16.03318343,0.860715254,1,16,3,0,1,0.455713018,0.544286982
Gfo1jvsM/JfVHSgc+RCg4w==,Male,C1,Chennai,BPS DM,0,3.482617713,0,Not Available,53,0,0,0,0.927177535,1,16,3,0,0,0.97576278,0.02423722
jkJcTY2kHibmZJpLGinCxg==,Male,C1,Chennai,BPS DM,0,3.876876322,0,Marr.,53,1.5,1,4.008295858,0.739108602,1,16,2.5,1,0,0.533013305,0.466986695
GzAHgo5oNAVxf5wcxVCvHQ==,Male,B1,Bangalore,BPS Core BI,0,0.985646523,0,Single,53,0.5,1,13.0105341,0.791862712,1,16,2.5,-1,0,0.619374851,0.380625149
qkRUHBd9/Uq5DjMQ6QggnA==,Male,B1,Chennai,BPS Oracle,0,8.870818703,0,Single,53,6,1,16.03318343,0.859854237,1,16,2.5,-1,1,0.292223255,0.707776745
Hq5I9OoXkyRZFi+qeMCZ2g==,Male,B2,Bangalore,BPS Oracle,0,2.956939568,0,Single,53,0.333333333,1,16.03318343,0.704329545,1,15,1.5,1,1,0.483495538,0.516504462
Ipxq7gLRkV0H58EyYPI50A==,Male,B2,Chennai,BPS Oracle,0,2.989794452,0,Marr.,53,0.454545455,1,328.5488408,0.9801125,1,15,2,0,0,0.860388905,0.139611095
FiO3fm5h3Y6aWchXpAU3dg==,Male,B1,Bangalore,BPS DM,0,7.030945194,0,Single,53,1,1,7.030945194,0.817284746,1,15,2.5,1,0,0.543717642,0.456282358
ZQBbAOxk1qEj6y22youh1g==,Female,A5,Chennai,BPS Oracle,0,0,0,Single,53,2,1,19.05583277,0.940846809,1,15,2.5,-1,1,0.320543793,0.679456207
2VIrmdoeFvZ4Si6fi5tGXg==,Male,B1,Bangalore,BPS Oracle,0,6.505267049,0,Single,53,1.666666667,1,328.5488408,0.969888136,1,15,3,0,0,0.573353529,0.426646471
JuXrHIpkjFQ+mkGg+CizoA==,Male,B1,Chennai,BPS Oracle,0,2.004147929,0,Marr.,53,0.857142857,1,328.5488408,0.737533898,1,15,3,0,0,0.936098944,0.063901056
GN2xMyHXb2bN3SrXXRoNGQ==,Female,B1,Chennai,BPS Big Data,0,0.985646523,0,Single,53,0,1,328.5488408,1.087086441,1,15,2.5,-1,0,0.559985318,0.440014682
eY/OXs9MMJctDK0DMlq1+g==,Male,B1,Bangalore,BPS Big Data,0,4.811203515,0,Single,53,1,1,16.03318343,1.320745763,1,15,2.5,-1,1,0.229759605,0.770240395
T4fyQ04uIzsz8lwA3VGa3Q==,Male,B1,Chennai,BPS Big Data,0,0,0,Single,53,0,1,328.5488408,1.121852542,1,15,2.5,1,1,0.454220631,0.545779369
6YYY4sAkIpJvMxOSdQ/D7A==,Male,B1,Bangalore,BPS Core BI,0,71.78792172,0,Single,53,1,1,16.03318343,1.260154237,1,16,1,0,1,0.161456349,0.838543651
tR0RaGfSUXvy4eBS2W8N4w==,Male,B1,Kolkata,BPS Oracle,0,3.482617713,0,Single,53,1,1,7.030945194,0.817284746,1,15,2.5,1,1,0.40673018,0.59326982
Udb2kuvK6m3o7dOjlXGWfw==,Male,B3,Chennai,BPS Oracle,0,11.1378057,0,Marr.,81,0.75,1,328.5488408,0.751490421,1,17,3,0,0,0.788768732,0.211231268
HXpdp7eCidVSHAgKo+BLNg==,Male,B1,Chennai,BPS Oracle,0,19.02297788,0,Single,53,1,1,25.00256679,0.859852542,1,17,3,0,1,0.328836924,0.671163076
8iT3B6kkwJFR5Ixm0INzgg==,Female,B3,Chennai,BPS DM,0,5.618185178,0,Marr.,53,1,1,25.00256679,0.728722605,1,17,1.5,1,1,0.339706507,0.660293493
4hJ5G1rZ0oJFzh4L69aQqA==,Female,A5,Bangalore,BPS Oracle,0,3.05550422,0,Single,53,4,1,36.99459948,1.002861702,1,17,3,0,1,0.308949487,0.691050513
dK60xKSkpkZgPI7kvZ3NUg==,Male,B1,Bangalore,BPS Oracle,0,0.985646523,0,Single,53,3.5,1,28.02521612,0.871745763,1,17,2.5,1,1,0.349142967,0.650857033
zXkTRUGtY+ENDU5IciEo7w==,Female,C1,Chennai,BPS Mgmt and others,0,11.7620485,0,Single,81,7,1,22.04562722,0.809146774,1,17,2.5,1,1,0.163148474,0.836851526
0tQfjtBVbZUul6GGe2XjLQ==,Female,B1,Bangalore,BPS Big Data,0,13.0105341,0,Single,53,1.25,1,28.02521612,1.144720339,1,17,2,0,1,0.31286972,0.68713028
ydyC3Nx80A/sxcKUJhCttg==,Male,B1,Chennai,BPS Oracle,0,43.66414095,0,Single,53,1.5,1,28.02521612,0.87849661,1,17,3,0,1,0.355096191,0.644903809
